package,test,result,log,elapsed_seconds,completed_runs
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLegacyPolicyPreflightRejectsUnsupportedAutoFillWithoutPartialRewrite,pass,rcc-goose-t3-integration.jsonl,10.59,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountCSRFAndServiceFailure,pass,rcc-goose-t3-integration.jsonl,9.88,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountCancelledLoginReleasesReservation,pass,rcc-goose-t3-integration.jsonl,10.45,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountConcurrentSessionsActivityAndExpiry,pass,rcc-goose-t3-integration.jsonl,11.1,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountCurrentAndAllSessionRevocation,pass,rcc-goose-t3-integration.jsonl,9.71,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountDatabaseLockTimeoutIs504,pass,rcc-goose-t3-integration.jsonl,10.33,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountFailuresAndCredentialBoundaries,pass,rcc-goose-t3-integration.jsonl,10.48,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountHTTPFieldContract,pass,rcc-goose-t3-integration.jsonl,10.53,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountHTTPSCookiesAndPreauthExpiry,pass,rcc-goose-t3-integration.jsonl,9.4,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountLoginAfterLogout,pass,rcc-goose-t3-integration.jsonl,9.86,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountLoginSettlementFailurePreservesPreviousSession,pass,rcc-goose-t3-integration.jsonl,9.75,1
github.com/asherzj/relational-config-center/admin/cmd/admin,TestLocalAccountMaintenanceAuthorizesBeforeInputs,pass,rcc-goose-t3-integration.jsonl,11.9,1
