package,test,final_result,passing_log
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/release_digest,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/unenforced_check,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/unknown,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/unknown_role,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/unmanaged,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/wrong_default,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/wrong_engine,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessContinuouslyChecksStateAndCompleteStructureReadOnly/zero_role_version,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessRejectsKnownOldRelease,pass,integration
github.com/asherzj/relational-config-center/admin/cmd/admin,TestSchemaReadinessRejectsUnmanagedStartup,pass,integration
